Week,Day,Date,Platform,Content Type,Topic,Hook/Title,Status,Notes
Week 1,Monday,2026-04-01,LinkedIn,Post,"RFM Explained","What I found when I ran RFM for the first time on a 12K customer database",Scheduled,"Story format, high engagement expected"
Week 1,Tuesday,2026-04-02,Short Video,Video Reel,"RFM Basics","RFM Segmentation in 90 Seconds",Scheduled,"Quick explainer, good for shares"
Week 1,Wednesday,2026-04-03,LinkedIn,Carousel,"RFM Framework","The RFM Framework: How to Segment Your Customers in 5 Steps",Scheduled,"12-slide educational carousel"
Week 1,Thursday,2026-04-04,Short Video,Video Reel,"Churn Detection","How to detect a customer about to churn",Scheduled,"High conversion potential"
Week 1,Friday,2026-04-05,LinkedIn,Post,"Customer Segments","3 signs your customer data is costing you money",Scheduled,"Problem-focused, high engagement"
Week 2,Monday,2026-04-07,LinkedIn,Post,"Revenue Concentration","Why your top 20% deserve different treatment (and what to do)",Scheduled,"Pareto principle application"
Week 2,Tuesday,2026-04-08,Short Video,Video Reel,"Data Quality","The $50K hiding in your customer database",Scheduled,"Specific ROI story, high hook"
Week 2,Wednesday,2026-04-09,LinkedIn,Carousel,"Data Errors","5 data errors that are costing your business money",Scheduled,"8-slide problem-focused carousel"
Week 2,Thursday,2026-04-10,Short Video,Video Reel,"Address Quality","Why bad addresses kill your delivery margin",Scheduled,"Distribution/logistics angle"
Week 2,Friday,2026-04-12,LinkedIn,Post,"Churn Pattern","The difference between declining and churning customers",Scheduled,"Educational, framework-driven"
Week 3,Monday,2026-04-14,LinkedIn,Post,"AI Automation","How I automated our monthly business audit with AI",Scheduled,"Personal story angle"
Week 3,Tuesday,2026-04-15,Short Video,Video Reel,"AI Growth Audit","What happens in an AI Growth Audit (process walkthrough)",Scheduled,"Direct offer explainer, 7-day process"
Week 3,Wednesday,2026-04-16,LinkedIn,Carousel,"Audit Explainer","What happens in an AI Growth Audit: step by step",Scheduled,"12-slide process breakdown"
Week 3,Thursday,2026-04-17,Short Video,Video Reel,"Revenue Risk","The 5-minute analysis that shows where revenue leaks",Scheduled,"Actionable framework video"
Week 3,Friday,2026-04-19,LinkedIn,Post,"Segment Strategy","What Champions, Loyals, and At-Risk mean in your business",Scheduled,"Educational segmentation breakdown"
Week 4,Monday,2026-04-21,LinkedIn,Post,"At-Risk Revenue","How I identified $180K in at-risk revenue in 7 days",Scheduled,"Case study format, specific ROI"
Week 4,Tuesday,2026-04-22,Short Video,Video Reel,"B2B/B2C Mix","The biggest data mistake e-commerce companies make",Scheduled,"Industry-specific critical insight"
Week 4,Wednesday,2026-04-23,LinkedIn,Carousel,"Segment Drop Risk","Champion → At Risk: The segment drop that costs companies most",Scheduled,"8-slide revenue risk carousel"
Week 4,Thursday,2026-04-24,Short Video,Video Reel,"Customer Types","Understanding your five customer segments",Scheduled,"Educational, segment breakdown"
Week 4,Friday,2026-04-26,LinkedIn,Post,"Data Hiring","Before you hire a data team, read this",Scheduled,"Authority positioning, advisory angle"
